,Unnamed: 0,Dwelling Type,Zone Classification,Linear Feet of Street,Plot Size,Type of Road,Type of Alley,Shape of Property,Flatness of Property,Types of Utilities Available,Plot Configuration,Slope of Property,Locations within Ames City limits,Proximity to Various Conditions,Overall Material Finish of House,Overall Condition,Original Construction Date,Remodel Date of Property,Type of Roof,Roof Material,Exterior Covering on House,Masonry veneer type,Masonry veneer area,Exterior Quality of the Material,Present Exterior condition of the Material,Type of Foundation,Height of the basement,General condition of Basement,Walkout or garden-level walls,Basement Finished area rating,Total basement area in square foot,Type of heating,Heating Quality and Condition,Central Air Conditioning,Electrical system,Total living area in square feet,Bedrooms(Excluded Basement Bedrooms),Kitchens,Kitchen Quality,Total Rooms(excluding bathrooms),Home functionality,Fireplaces,Fireplace Quality,Garage location,The Year of Garage Built,Interior finish of the garage,Capacity of cars in Garage,Size of garage in square feet,Garage quality,Garage condition,Paved driveway,Fence quality,Month sold,Year Sold,Type of sale,Condition of sale,Sale Price,TotalBathrooms,Total porch area in square feet,Age of property,Price per square foot of property
1099,1099,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,82,11880,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,Adjacent to North-South RailroadNormal,Good,Average,1978,1978,Gable,Standard (Composite) Shingle,PlywoodPlywood,Brick Face,206,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,1271,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1601,3,1,Average/Typical,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1978,Rough Finished,2,478,Typical/Average,Typical/Average,Paved,No Fence,Apr,2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",157000,2.0,0,31,13.215488215488216
1101,1101,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,61,9758,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Average,1971,1971,Gable,Standard (Composite) Shingle,Hard BoardMetal Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersLow Quality,950,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,950,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1981,Unfinished,1,280,Typical/Average,Typical/Average,Paved,No Fence,Jul,2007,Warranty Deed - Conventional,Normal Sale,119500,1.0,0,36,12.246361959417914
1102,1102,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7000,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Good,1960,2002,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,Brick Face,45,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,1010,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1134,2,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1960,Rough Finished,1,254,Typical/Average,Typical/Average,Paved,Minimum Wood/Wire,Apr,2007,Warranty Deed - Conventional,Sale between family members,135000,1.0,16,47,19.285714285714285
1103,1103,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,79,8910,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,NormalNormal,Above Average,Above Average,1959,1959,Hip,Standard (Composite) Shingle,Brick FaceBrick Face,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Average Living QuartersUnfinished,655,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1194,3,1,Average/Typical,6,Typical Functionality,1,Fair - Prefabricated Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),1954,Finished,2,539,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Warranty Deed - Conventional,Normal Sale,159500,1.5,192,47,17.901234567901234
1104,1104,2-STORY PUD - 1946 & NEWER,Residential Medium,24,2016,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Briardale,NormalNormal,Average,Average,1970,1970,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,304,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,630,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1302,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Detached from home,1970,Unfinished,2,440,Typical/Average,Typical/Average,Paved,No Fence,Apr,2007,Warranty Deed - Conventional,Normal Sale,106000,2.5,0,37,52.57936507936508
1105,1105,2-STORY 1946 & NEWER,Residential Low-Density,98,12256,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Northridge,NormalNormal,Very Good,Average,1994,1995,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,362,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1463,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2622,3,1,Good,9,Typical Functionality,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1994,Rough Finished,2,712,Typical/Average,Typical/Average,Paved,No Fence,Apr,2010,Warranty Deed - Conventional,Normal Sale,325000,3.5,218,16,26.517624020887727
1106,1106,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,114,10357,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Sawyer West,Adjacent to feeder streetNormal,Good,Average,1990,1991,Hip,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living QuartersUnfinished,910,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1442,3,1,Good,6,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1990,Finished,2,719,Typical/Average,Typical/Average,Paved,No Fence,May,2007,Warranty Deed - Conventional,Normal Sale,179900,3.0,244,17,17.369894757169064
1107,1107,2-STORY 1946 & NEWER,Residential Low-Density,168,23257,Paved,No Alley Access,Irregular,Hillside,All Public Utilities,Cul-De-Sac,Gentle Slope,Gilbert,NormalNormal,Good,Average,2006,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Good (90-99 inches),Good,No Exposure,UnfinishedUnfinished,868,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2021,3,1,Good,9,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2006,Rough Finished,2,422,Typical/Average,Typical/Average,Paved,No Fence,Sep,2006,Home just constructed and sold,Home was not completed when last assessed,274725,2.5,100,0,11.812572558799502
1108,1108,2-STORY 1946 & NEWER,Residential Low-Density,0,8063,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Average,2000,2000,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,924,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1690,3,1,Average/Typical,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2000,Rough Finished,2,463,Typical/Average,Typical/Average,Paved,No Fence,Nov,2007,Warranty Deed - Conventional,"Abnormal Sale -  trade, foreclosure, short sale",181000,2.5,148,7,22.448220265409898
1109,1109,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,107,11362,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,Stone,42,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,Good Living QuartersUnfinished,1836,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1836,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Finished,3,862,Typical/Average,Typical/Average,Paved,No Fence,Mar,2009,Warranty Deed - Conventional,Normal Sale,280000,3.0,310,5,24.643548671008624
1110,1110,2-STORY 1946 & NEWER,Residential Low-Density,0,8000,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Average,1995,1996,Gable,Standard (Composite) Shingle,Hard BoardHard Board,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,773,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1658,3,1,Average/Typical,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995,Finished,2,431,Typical/Average,Typical/Average,Paved,No Fence,Jun,2008,Warranty Deed - Conventional,Normal Sale,188000,3.5,308,13,23.5
1111,1111,2-STORY 1946 & NEWER,Residential Low-Density,80,10480,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northwest Ames,NormalNormal,Good,Above Average,1976,1976,Hip,Standard (Composite) Shingle,PlywoodPlywood,Brick Face,660,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Living QuartersUnfinished,803,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1964,4,1,Average/Typical,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,1976,Rough Finished,2,483,Typical/Average,Typical/Average,Paved,No Fence,Sep,2008,Warranty Deed - Conventional,Normal Sale,205000,2.5,69,32,19.561068702290076
1112,1112,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,73,7100,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,North Ames,NormalNormal,Average,Good,1957,1957,Gable,Standard (Composite) Shingle,Wood ShinglesWd Shng,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,816,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),816,2,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Detached from home,1957,Unfinished,1,308,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Warranty Deed - Conventional,Normal Sale,129900,2.0,0,49,18.295774647887324
1113,1113,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,66,8923,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Good,1953,2006,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,1008,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1008,2,1,Good,6,Typical Functionality,0,No Fireplace,Attached to the home,1953,Unfinished,1,240,Typical/Average,Typical/Average,Paved,No Fence,May,2007,Warranty Deed - Conventional,Normal Sale,134500,2.0,18,54,15.073405805222459
1114,1114,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,90,5400,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Average,Good,1954,2000,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Average Rec RoomUnfinished,833,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,833,2,1,Good,4,Typical Functionality,0,No Fireplace,Detached from home,1955,Unfinished,1,326,Typical/Average,Typical/Average,Paved,Minimum Privacy,Aug,2006,Warranty Deed - Conventional,Normal Sale,117000,1.0,0,52,21.666666666666668
1115,1115,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,93,12085,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Northridge Heights,NormalNormal,Very Good,Average,2007,2007,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Stone,328,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1734,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1734,3,1,Excellent,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2007,Rough Finished,3,928,Typical/Average,Typical/Average,Paved,No Fence,Nov,2007,Home just constructed and sold,Home was not completed when last assessed,318000,3.0,0,0,26.31361191559785
1116,1116,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,7750,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Very Good,Average,2002,2002,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,408,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1419,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Built-In (Garage part of the house - typically has room above the garage),2002,Finished,2,527,Typical/Average,Typical/Average,Paved,No Fence,Mar,2009,Warranty Deed - Conventional,Normal Sale,184100,3.5,120,7,23.75483870967742
1117,1117,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,57,9764,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Frontage on 2 sides of the property,Gentle Slope,Sawyer,Adjacent to feeder streetNormal,Average,Good,1967,2003,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,894,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,894,3,1,Good,5,Typical Functionality,0,No Fireplace,Attached to the home,1967,Rough Finished,2,450,Typical/Average,Typical/Average,Paved,No Fence,May,2008,Warranty Deed - Conventional,Normal Sale,130000,2.0,0,41,13.31421548545678
1118,1118,SPLIT OR MULTI-LEVEL,Residential Low-Density,85,13825,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer,NormalNormal,Average,Above Average,1958,1987,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,NA,0,Average/Typical,Good,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,533,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1601,3,1,Average/Typical,6,Minor Deductions 2,0,No Fireplace,Built-In (Garage part of the house - typically has room above the garage),1958,Rough Finished,1,300,Typical/Average,Typical/Average,Paved,No Fence,Dec,2008,Warranty Deed - Conventional,Normal Sale,140000,1.5,314,50,10.126582278481013
1119,1119,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,70,7560,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Average,Average,1959,1959,Gable,Standard (Composite) Shingle,Brick FaceWood Siding,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Low QualityUnfinished,1040,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1040,3,1,Average/Typical,6,Typical Functionality,0,No Fireplace,Attached to the home,1959,Rough Finished,1,286,Typical/Average,Typical/Average,Paved,Good Wood,Jul,2006,Warranty Deed - Conventional,Normal Sale,133700,1.0,392,47,17.685185185185187
1120,1120,1-STORY 1945 & OLDER,Residential Medium,59,8263,Paved,No Alley Access,Regular,Banked,All Public Utilities,Inside Plot,Moderate Slope,Iowa DOT and Rail Road,NormalNormal,Above Average,Average,1920,1950,Gable,Standard (Composite) Shingle,Brick FaceBrick Face,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1012,Gas forced warm air furnace,Average/Typical,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),1012,2,1,Average/Typical,6,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1920,Unfinished,1,308,Typical/Average,Typical/Average,Paved,Minimum Privacy,May,2007,Warranty Deed - Conventional,Normal Sale,118400,1.0,134,87,14.328936221711244
1121,1121,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,84,10084,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,College Creek,NormalNormal,Good,Average,2005,2006,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,196,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1552,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1552,3,1,Good,7,Typical Functionality,0,No Fireplace,Attached to the home,2005,Rough Finished,3,782,Typical/Average,Typical/Average,Paved,No Fence,Jul,2006,Home just constructed and sold,Home was not completed when last assessed,212900,2.0,164,1,21.112653708845695
1122,1122,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,0,8926,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Edwards,NormalNormal,Below Average,Fair,1956,1956,Gable,Standard (Composite) Shingle,Asbestos ShinglesAsbestos Shingles,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,672,Gas forced warm air furnace,Excellent,Yes,Fuse Box over 60 AMP and all Romex wiring (Average),960,3,1,Average/Typical,5,Typical Functionality,0,No Fireplace,Basement Garage,1956,Unfinished,1,288,Typical/Average,Typical/Average,Paved,Minimum Privacy,Oct,2009,Court Officer Deed/Estate,"Abnormal Sale -  trade, foreclosure, short sale",112000,1.0,224,53,12.547613712749271
1124,1124,SPLIT OR MULTI-LEVEL,Residential Low-Density,0,9125,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Good,Average,1992,1992,Gable,Standard (Composite) Shingle,Hard BoardHard Board,Brick Face,170,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,384,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1482,3,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1992,Finished,2,392,Typical/Average,Typical/Average,Paved,No Fence,Jul,2007,Warranty Deed - Conventional,Normal Sale,163900,2.5,125,15,17.96164383561644
1125,1125,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,60,10434,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,North Ames,NormalNormal,Below Average,Average,1955,1955,Gable,Standard (Composite) Shingle,PlywoodPlywood,NA,0,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1005,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1005,2,1,Fair,5,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1977,Unfinished,2,672,Fair,Fair,Paved,No Fence,Nov,2009,Warranty Deed - Conventional,Normal Sale,115000,1.0,0,54,11.02165995783017
1126,1126,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Low-Density,53,3684,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Bloomington Heights,NormalNormal,Good,Average,2007,2007,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,Brick Face,130,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,1373,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1555,2,1,Good,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,2007,Finished,3,660,Typical/Average,Typical/Average,Paved,No Fence,Jun,2009,Warranty Deed - Conventional,Normal Sale,174000,2.0,163,2,47.23127035830619
1127,1127,1-STORY 1946 & NEWER ALL STYLES,Residential Low-Density,182,14572,Paved,No Alley Access,Irregular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Gilbert,NormalNormal,Good,Average,2004,2004,Hip,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,Good Living QuartersUnfinished,1530,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1530,3,1,Good,7,Typical Functionality,1,Good - Masonry Fireplace on the main level,Attached to the home,2004,Finished,3,630,Typical/Average,Typical/Average,Paved,No Fence,Nov,2007,Warranty Deed - Conventional,Sale between family members,259000,3.0,180,3,17.773812791655228
1128,1128,2-STORY 1946 & NEWER,Residential Low-Density,59,11796,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Good,Average,2004,2005,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,UnfinishedUnfinished,847,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,1959,4,1,Good,8,Typical Functionality,1,Good - Masonry Fireplace on the main level,Built-In (Garage part of the house - typically has room above the garage),2004,Finished,2,434,Typical/Average,Typical/Average,Paved,No Fence,Jul,2007,Warranty Deed - Conventional,Normal Sale,215000,2.5,148,3,18.226517463546966
1129,1129,DUPLEX - ALL STYLES AND AGES,Residential Medium,60,7200,Paved,Gravel,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Average,Average,1980,1980,Gable,Standard (Composite) Shingle,Metal SidingMetal Siding,Brick Face,180,Average/Typical,Average/Typical,Cinder Block,Typical (80-89 inches),Typical - slight dampness allowed,Good Exposure,Good Living QuartersUnfinished,936,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,936,2,1,Average/Typical,4,Typical Functionality,0,No Fireplace,Detached from home,1980,Unfinished,2,672,Typical/Average,Typical/Average,Paved,No Fence,Aug,2007,Warranty Deed - Conventional,Normal Sale,140000,2.0,49,27,19.444444444444443
1130,1130,1-1/2 STORY FINISHED ALL AGES,Residential Low-Density,65,7804,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,South & West of Iowa State University,NormalNormal,Below Average,Fair,1928,1950,Gable,Standard (Composite) Shingle,Wood ShinglesPlywood,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Below Average Living QuartersUnfinished,1122,Gas forced warm air furnace,Average/Typical,Yes,Standard Circuit Breakers & Romex,1981,4,1,Good,7,Minor Deductions 2,2,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Detached from home,1981,Unfinished,2,576,Typical/Average,Typical/Average,Paved,Minimum Privacy,Dec,2009,Warranty Deed - Conventional,Normal Sale,135000,3.0,475,81,17.298821117375706
1132,1132,2-STORY 1945 & OLDER,Residential Medium,90,9900,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Old Town,NormalNormal,Above Average,Below Average,1880,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,Mimimum Exposure,UnfinishedUnfinished,1008,Gas hot water or steam heat,Average/Typical,Yes,Standard Circuit Breakers & Romex,2210,5,1,Fair,8,Typical Functionality,0,No Fireplace,Detached from home,1930,Unfinished,1,205,Fair,Typical/Average,Dirt/Gravel,No Fence,May,2007,Warranty Deed - Conventional,Normal Sale,117500,2.0,48,127,11.868686868686869
1133,1133,2-STORY 1946 & NEWER,Residential Low-Density,80,9828,Paved,No Alley Access,Slightly Irregular,Near Flat Level,All Public Utilities,Inside Plot,Gentle Slope,Sawyer West,NormalNormal,Very Good,Average,1995,1995,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Good,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,Good Living QuartersUnfinished,1128,Gas forced warm air furnace,Excellent,Yes,Standard Circuit Breakers & Romex,2020,3,1,Good,8,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1995,Rough Finished,2,466,Typical/Average,Typical/Average,Paved,No Fence,Jun,2009,Warranty Deed - Conventional,Normal Sale,239500,2.5,155,14,24.36914936914937
1134,1134,2-STORY 1946 & NEWER,Residential Low-Density,57,8773,Paved,No Alley Access,Slightly Irregular,Hillside,All Public Utilities,Inside Plot,Gentle Slope,Gilbert,NormalNormal,Above Average,Average,1997,1997,Gable,Standard (Composite) Shingle,Vinyl SidingVinyl Siding,NA,0,Average/Typical,Average/Typical,Poured Contrete,Typical (80-89 inches),Typical - slight dampness allowed,Average Exposure,UnfinishedUnfinished,916,Gas forced warm air furnace,Good,Yes,Standard Circuit Breakers & Romex,1600,3,1,Average/Typical,7,Typical Functionality,1,Average - Prefabricated Fireplace in the main living area or Masonry Fireplace in the basement,Attached to the home,1997,Finished,2,460,Typical/Average,Typical/Average,Paved,No Fence,Aug,2007,Warranty Deed - Conventional,Normal Sale,169000,2.5,138,10,19.263649834720166
1135,1135,1-STORY 1945 & OLDER,Residential Medium,60,6180,Paved,No Alley Access,Regular,Near Flat Level,All Public Utilities,Corner Plot,Gentle Slope,Brookside,NormalNormal,Above Average,Average,1926,1950,Gable,Standard (Composite) Shingle,Wood SidingWood Siding,NA,0,Average/Typical,Average/Typical,Brick & Tile,Typical (80-89 inches),Typical - slight dampness allowed,No Exposure,UnfinishedUnfinished,960,Gas forced warm air furnace,Average/Typical,No,Standard Circuit Breakers & Romex,986,2,1,Average/Typical,5,Typical Functionality,1,Good - Masonry Fireplace on the main level,Detached from home,1926,Unfinished,1,180,Typical/Average,Typical/Average,Paved,No Fence,May,2007,Warranty Deed - Conventional,Normal Sale,102000,1.0,128,81,16.50485436893204
